,"Position (m) Calibration Run #1","Force (N) Calibration Run #1","Speed (mm/min) Calibration Run #1"
,-6.35000E-7,-16,
,-6.35000E-7,-17,0.00
,-6.35000E-7,-17,0.00
,-6.35000E-7,-17,0.00
,-6.35000E-7,-17,0.00
,-6.35000E-7,-17,0.00
,-6.35000E-7,-17,-2.64
,-6.35000E-7,-20,-13.43
,-5.33400E-5,-678,-30.80
,-2.16535E-4,-3499,-41.02
,-4.00685E-4,-5758,-36.23
,-4.73710E-4,-6749,-23.27
,-5.20700E-4,-7333,-14.41
,-5.61975E-4,-7333,-12.29
,-6.00710E-4,-7333,-12.54
,-6.39445E-4,-7333,-14.29
,-6.94055E-4,-7333,-16.70
,-7.54380E-4,-7333,-18.07
,-8.19785E-4,-7333,-16.13
,-8.75030E-4,-7333,-10.89
,-8.95985E-4,-7333,-4.79
,-8.95985E-4,-7333,1.78
,-8.94715E-4,-7333,11.18
,-8.40740E-4,-7333,22.13
,-7.27710E-4,-7333,33.65
,-6.20395E-4,-7333,41.53
,-4.41960E-4,-6268,40.51
,-2.95910E-4,-5389,32.99
,-2.41935E-4,-4405,21.15
,-1.60655E-4,-3503,14.89
,-1.54305E-4,-2874,15.62
,-8.57250E-5,-1926,19.34
,-4.44500E-6,-422,21.78
,7.62000E-5,1304,16.64
,1.19380E-4,2318,8.73
,1.23190E-4,2550,2.54
,1.23190E-4,2529,0.22
,1.23190E-4,2521,1.21
,1.23825E-4,2519,2.35
,1.46685E-4,2838,2.32
,1.46685E-4,3008,1.14
,1.46685E-4,2991,0.00
,1.46685E-4,2983,0.00
,1.46685E-4,2978,0.00
,1.46685E-4,2975,0.03
,1.46685E-4,2975,0.06
,1.47320E-4,2971,0.03
,1.47320E-4,2970,-0.06
,1.46685E-4,2966,-0.13
,1.46050E-4,2958,-0.10
,1.46050E-4,2958,-0.03
,1.46050E-4,2957,0.00
,1.46050E-4,2956,0.00
,1.46050E-4,2955,0.00
,1.46050E-4,2954,0.00
,1.46050E-4,2953,0.00
,1.46050E-4,2952,0.00
,1.46050E-4,2951,0.00
,1.46050E-4,2951,0.00
,1.46050E-4,2950,0.00
,1.46050E-4,2949,0.00
,1.46050E-4,2949,0.00
,1.46050E-4,2949,0.00
,1.46050E-4,2948,0.00
,1.46050E-4,2947,0.00
,1.46050E-4,2947,0.00
,1.46050E-4,2947,0.00
,1.46050E-4,2946,0.00
,1.46050E-4,2945,0.00
,1.46050E-4,2945,0.00
,1.46050E-4,2945,0.00
,1.46050E-4,2945,0.00
,1.46050E-4,2944,0.00
,1.46050E-4,2944,0.00
,1.46050E-4,2944,0.00
,1.46050E-4,2943,-0.03
,1.46050E-4,2943,-1.11
,1.45415E-4,2939,-9.65
,1.24460E-4,2715,-28.13
,-2.54000E-5,14,-49.53
,-2.45745E-4,-4080,-57.50
,-4.74980E-4,-6032,-48.32
,-5.75945E-4,-7333,-34.16
,-6.61670E-4,-7333,-25.11
,-7.42315E-4,-7333,-21.37
,-8.10895E-4,-7333,-16.41
,-8.54075E-4,-7333,-10.54
,-8.78205E-4,-7333,-5.52
,-8.85825E-4,-7333,-2.41
,-8.89635E-4,-7333,-0.83
,-8.90905E-4,-7333,-0.19
,-8.89635E-4,-7333,0.06
,-8.89635E-4,-7333,0.06
,-8.89635E-4,-7333,-0.03
,-8.89635E-4,-7333,-0.10
,-8.90270E-4,-7333,-0.13
,-8.90905E-4,-7333,-0.16
,-8.90905E-4,-7333,-0.16
,-8.92175E-4,-7333,-0.13
,-8.92175E-4,-7333,-0.06
,-8.92175E-4,-7333,0.03
,-8.92175E-4,-7333,0.98
,-8.91540E-4,-7333,7.62
,-8.73125E-4,-7333,18.73
,-7.58825E-4,-7333,33.18
,-6.50240E-4,-7333,49.31
,-4.50850E-4,-6476,53.15
,-1.94945E-4,-4507,47.21
,-1.51130E-4,-3156,36.70
,-5.71500E-6,-747,26.96
,9.39800E-5,1643,17.88
,9.90600E-5,2026,7.43
,1.01600E-4,2045,4.41
,1.35255E-4,2685,4.54
,1.46050E-4,2966,2.70
,1.45415E-4,2965,0.44
,1.45415E-4,2954,-0.03
,1.44780E-4,2947,0.54
,1.46050E-4,2944,2.29
,1.55575E-4,3029,3.59
,1.80340E-4,3636,3.08
,1.82245E-4,3690,1.30
,1.80975E-4,3681,-0.03
,1.80975E-4,3667,-0.06
,1.80975E-4,3661,0.00
,1.80975E-4,3658,0.00
,1.80975E-4,3655,0.06
,1.80975E-4,3654,0.73
,1.82245E-4,3651,2.44
,1.94310E-4,3865,5.59
,2.16535E-4,4213,8.25
,2.58445E-4,4982,7.72
,2.83210E-4,5680,4.44
,2.81940E-4,5637,1.14
,2.81940E-4,5623,0.03
,2.82575E-4,5616,0.44
,2.83210E-4,5608,0.89
,2.89560E-4,5648,0.98
,2.92735E-4,5801,1.40
,2.92735E-4,5794,2.03
,3.07975E-4,5968,2.19
,3.14960E-4,6237,1.37
,3.14325E-4,6228,0.22
,3.13690E-4,6213,-0.10
,3.13690E-4,6205,-0.03
,3.13690E-4,6200,0.00
,3.13690E-4,6195,0.00
,3.13690E-4,6191,0.03
,3.13690E-4,6188,0.10
,3.14325E-4,6185,0.29
,3.14960E-4,6176,0.38
,3.18135E-4,6204,0.25
,3.17500E-4,6239,0.03
,3.16865E-4,6239,-0.10
,3.16865E-4,6235,-0.03
,3.16865E-4,6232,0.00
,3.16865E-4,6231,0.00
,3.16865E-4,6229,0.00
,3.16865E-4,6228,0.00
,3.16865E-4,6226,0.00
,3.16865E-4,6225,0.00
,3.16865E-4,6224,0.00
,3.16865E-4,6223,0.00
