"Time (s) Brass","Position (m) Brass","Force (N) Brass","Speed (mm/min) Brass","Time (s) Orange Coupon","Position (m) Orange Coupon","Force (N) Orange Coupon","Speed (mm/min) Orange Coupon","Time (s) Black Coupon","Position (m) Black Coupon","Force (N) Black Coupon","Speed (mm/min) Black Coupon","Time (s) Blue Coupon","Position (m) Blue Coupon","Force (N) Blue Coupon","Speed (mm/min) Blue Coupon","Time (s) Clear Coupon","Position (m) Clear Coupon","Force (N) Clear Coupon","Speed (mm/min) Clear Coupon","Time (s) Long 1","Position (m) Long 1","Force (N) Long 1","Speed (mm/min) Long 1","Time (s) Long 2","Position (m) Long 2","Force (N) Long 2","Speed (mm/min) Long 2","Time (s) Short 1","Position (m) Short 1","Force (N) Short 1","Speed (mm/min) Short 1","Time (s) Short 2","Position (m) Short 2","Force (N) Short 2","Speed (mm/min) Short 2","Time (s) Polythylene 1","Position (m) Polythylene 1","Force (N) Polythylene 1","Speed (mm/min) Polythylene 1","Time (s) Polythylene 2","Position (m) Polythylene 2","Force (N) Polythylene 2","Speed (mm/min) Polythylene 2","Time (s) Polythylene 3","Position (m) Polythylene 3","Force (N) Polythylene 3","Speed (mm/min) Polythylene 3"
0.000,2.83791E-4,1,,0.000,-1.38840E-4,-23,,0.000,-1.98855E-4,-49,,0.000,-1.57785E-4,8,,0.000,-6.46175E-5,-4,,0.000,-1.25493E-4,-58,,0.000,-1.33193E-4,-56,,0.000,-3.87213E-4,-194,,0.000,-4.32073E-4,-165,,0.000,-1.89990E-4,-31,,0.000,-2.88290E-4,0,,0.000,-8.97218E-9,0,
0.200,5.27005E-4,1,65.92,0.200,-2.28009E-4,-33,-25.94,0.200,-4.04848E-4,-59,-56.77,0.200,-2.96027E-4,3,-43.45,0.200,-2.17088E-4,-19,-40.55,0.200,-2.50230E-4,-85,-49.08,0.200,-1.84042E-4,-71,-49.59,0.200,-6.88354E-4,-314,-75.07,0.200,-7.24666E-4,-293,-75.83,0.200,-5.03772E-4,-80,-101.23,0.200,-5.85461E-4,0,-86.20,0.200,0.00000,0,-0.10
0.400,7.23229E-4,1,55.34,0.400,-3.11776E-4,-34,-38.32,0.400,-5.77302E-4,-66,-54.11,0.400,-4.47451E-4,-6,-41.67,0.400,-3.34984E-4,-25,-38.51,0.400,-4.52716E-4,-156,-57.46,0.400,-4.63799E-4,-149,-64.48,0.400,-8.87704E-4,-388,-70.49,0.400,-9.37631E-4,-376,-83.72,0.400,-8.64865E-4,-103,-111.01,0.400,-8.62965E-4,0,-86.77,0.400,-6.43972E-7,0,-17.76
0.600,8.90234E-4,1,53.18,0.600,-4.81196E-4,-38,-45.68,0.600,-7.50666E-4,-66,-53.92,0.600,-5.84262E-4,-15,-39.95,0.600,-4.59945E-4,-29,-38.51,0.600,-6.68947E-4,-218,-57.74,0.600,-7.15822E-4,-203,-64.04,0.600,-0.00110,-461,-74.27,0.600,-0.00127,-488,-81.09,0.600,-0.00124,-113,-117.48,0.600,-0.00116,0,-87.44,0.600,-1.07332E-4,-17,-32.29
0.800,0.00103,1,60.39,0.800,-6.52020E-4,-38,-46.01,0.800,-9.35167E-4,-74,-55.23,0.800,-7.03033E-4,-15,-38.68,0.800,-5.91936E-4,-31,-40.15,0.800,-8.56073E-4,-223,-53.75,0.800,-8.91004E-4,-205,-55.15,0.800,-0.00139,-590,-82.54,0.800,-0.00156,-622,-73.83,0.800,-0.00167,-113,-117.42,0.800,-0.00145,0,-86.77,0.800,-2.47786E-4,-48,-45.42
1.000,0.00129,0,65.25,1.000,-8.01290E-4,-36,-40.84,1.000,-0.00113,-83,-54.94,1.000,-8.39487E-4,-17,-39.33,1.000,-7.30393E-4,-30,-43.90,1.000,-0.00100,-251,-54.15,1.000,-0.00104,-224,-55.90,1.000,-0.00167,-730,-86.85,1.000,-0.00173,-708,-65.66,1.000,-0.00205,-103,-115.35,1.000,-0.00175,0,-86.49,1.000,-3.98725E-4,-70,-54.27
1.200,0.00153,1,58.61,1.200,-9.11824E-4,-35,-37.00,1.200,-0.00131,-94,-53.93,1.200,-9.65879E-4,-16,-41.97,1.200,-8.67526E-4,-31,-48.75,1.200,-0.00119,-284,-59.07,1.200,-0.00124,-271,-60.58,1.200,-0.00196,-864,-85.80,1.200,-0.00196,-818,-68.41,1.200,-0.00241,-92,-115.20,1.200,-0.00201,0,-87.15,1.200,-6.17639E-4,-92,-62.24
1.400,0.00169,1,41.97,1.400,-0.00104,-35,-39.43,1.400,-0.00148,-88,-52.98,1.400,-0.00111,-20,-43.65,1.400,-0.00106,-34,-53.14,1.400,-0.00141,-327,-60.69,1.400,-0.00148,-338,-60.88,1.400,-0.00226,-1003,-82.50,1.400,-0.00218,-927,-75.93,1.400,-0.00281,-82,-120.05,1.400,-0.00233,0,-87.98,1.400,-8.22964E-4,-103,-66.56
1.600,0.00180,1,30.42,1.600,-0.00116,-35,-45.77,1.600,-0.00166,-93,-50.35,1.600,-0.00127,-31,-43.87,1.600,-0.00123,-37,-53.84,1.600,-0.00163,-389,-53.66,1.600,-0.00166,-378,-56.49,1.600,-0.00252,-1123,-80.20,1.600,-0.00247,-1050,-79.49,1.600,-0.00321,-75,-121.03,1.600,-0.00261,0,-92.17,1.600,-0.00107,-111,-66.70
1.800,0.00186,1,24.45,1.800,-0.00135,-38,-47.87,1.800,-0.00183,-106,-44.72,1.800,-0.00140,-41,-42.58,1.800,-0.00143,-48,-51.11,1.800,-0.00178,-440,-46.49,1.800,-0.00184,-414,-53.73,1.800,-0.00277,-1223,-81.48,1.800,-0.00274,-1167,-80.85,1.800,-0.00365,-66,-118.87,1.800,-0.00291,0,-95.85,1.800,-0.00128,-115,-66.16
2.000,0.00197,1,11.72,2.000,-0.00152,-38,-41.35,2.000,-0.00196,-116,-39.17,2.000,-0.00155,-53,-41.55,2.000,-0.00158,-53,-50.68,2.000,-0.00190,-475,-45.62,2.000,-0.00201,-462,-54.29,2.000,-0.00306,-1328,-84.77,2.000,-0.00300,-1266,-77.45,2.000,-0.00399,-57,-118.24,2.000,-0.00327,0,-97.22,2.000,-0.00150,-117,-64.56
2.200,0.00201,1,-15.18,2.200,-0.00163,-35,-33.20,2.200,-0.00207,-124,-36.34,2.200,-0.00169,-67,-43.85,2.200,-0.00174,-56,-52.28,2.200,-0.00207,-531,-48.55,2.200,-0.00220,-521,-54.63,2.200,-0.00335,-1416,-86.50,2.200,-0.00327,-1347,-75.41,2.200,-0.00441,-50,-119.91,2.200,-0.00358,0,-91.57,2.200,-0.00172,-119,-62.26
2.400,0.00189,0,-48.93,2.400,-0.00170,-31,-34.45,2.400,-0.00220,-131,-36.58,2.400,-0.00182,-80,-46.32,2.400,-0.00194,-61,-55.08,2.400,-0.00225,-594,-49.25,2.400,-0.00239,-585,-54.05,2.400,-0.00363,-1476,-87.54,2.400,-0.00348,-1395,-77.07,2.400,-0.00482,-41,-121.86,2.400,-0.00388,0,-83.85,2.400,-0.00192,-118,-61.09
2.600,0.00164,1,-67.47,2.600,-0.00183,-35,-40.53,2.600,-0.00232,-135,-37.35,2.600,-0.00201,-98,-44.69,2.600,-0.00212,-63,-54.81,2.600,-0.00240,-652,-46.17,2.600,-0.00256,-645,-53.64,2.600,-0.00392,-1502,-95.86,2.600,-0.00376,-1431,-87.71,2.600,-0.00522,-36,-118.70,2.600,-0.00413,0,-82.07,2.600,-0.00210,-116,-64.11
2.800,0.00136,1,-66.33,2.800,-0.00201,-38,-42.76,2.800,-0.00245,-140,-38.61,2.800,-0.00215,-112,-37.51,2.800,-0.00230,-65,-51.30,2.800,-0.00255,-704,-43.74,2.800,-0.00273,-704,-56.14,2.800,-0.00423,-1446,-105.84,2.800,-0.00405,-1401,-98.76,2.800,-0.00561,-32,-115.88,2.800,-0.00440,0,-87.25,2.800,-0.00234,-117,-70.33
3.000,0.00119,1,-62.55,3.000,-0.00213,-35,-37.92,3.000,-0.00257,-141,-41.53,3.000,-0.00225,-114,-30.44,3.000,-0.00247,-65,-49.49,3.000,-0.00269,-755,-45.80,3.000,-0.00292,-765,-55.32,3.000,-0.00467,-71,-101.87,3.000,-0.00446,-4,-91.94,3.000,-0.00598,-32,-114.64,3.000,-0.00470,0,-96.32,3.000,-0.00258,-117,-74.59
3.200,0.00101,1,-66.39,3.200,-0.00225,-34,-32.31,3.200,-0.00272,-143,-43.61,3.200,-0.00233,-109,-29.88,3.200,-0.00261,-65,-50.70,3.200,-0.00283,-800,-48.56,3.200,-0.00315,-839,-50.17,3.200,-0.00501,-63,-74.62,3.200,-0.00476,8,-63.51,3.200,-0.00637,-30,-115.55,3.200,-0.00505,0,-102.13,3.200,-0.00284,-115,-71.88
3.400,7.32745E-4,1,-70.58,3.400,-0.00235,-32,-30.14,3.400,-0.00288,-146,-42.86,3.400,-0.00244,-106,-34.21,3.400,-0.00280,-66,-55.30,3.400,-0.00304,-868,-47.74,3.400,-0.00326,-881,-43.91,3.400,-0.00519,-44,-36.75,3.400,-0.00489,8,-28.12,3.400,-0.00675,-28,-116.98,3.400,-0.00541,-4,-99.50,3.400,-0.00309,-112,-68.94
3.600,4.85113E-4,1,-67.75,3.600,-0.00244,-32,-30.80,3.600,-0.00302,-143,-39.89,3.600,-0.00256,-101,-39.19,3.600,-0.00299,-66,-57.50,3.600,-0.00318,-924,-40.80,3.600,-0.00341,-924,-43.84,3.600,-0.00520,-45,-10.64,3.600,-0.00489,7,-6.54,3.600,-0.00715,-30,-119.29,3.600,-0.00574,-88,-90.45,3.600,-0.00327,-105,-67.96
3.800,3.04129E-4,1,-67.18,3.800,-0.00255,-33,-33.55,3.800,-0.00313,-142,-38.21,3.800,-0.00270,-97,-42.21,3.800,-0.00320,-66,-54.24,3.800,-0.00330,-960,-30.80,3.800,-0.00354,-967,-51.74,3.800,-0.00520,-44,-0.79,3.800,-0.00489,7,0.00,3.800,-0.00754,-28,-120.91,3.800,-0.00601,-141,-85.57,3.800,-0.00353,-104,-68.28
