"Time (s) Brass","Position (m) Brass","Force (N) Brass","Speed (mm/min) Brass","Time (s) Black Coupon #1 {bad}","Position (m) Black Coupon #1 {bad}","Force (N) Black Coupon #1 {bad}","Speed (mm/min) Black Coupon #1 {bad}","Time (s) Clear Coupon","Position (m) Clear Coupon","Force (N) Clear Coupon","Speed (mm/min) Clear Coupon","Time (s) Blue Coupon","Position (m) Blue Coupon","Force (N) Blue Coupon","Speed (mm/min) Blue Coupon","Time (s) Orange Coupon","Position (m) Orange Coupon","Force (N) Orange Coupon","Speed (mm/min) Orange Coupon","Time (s) Short I-beam #1","Position (m) Short I-beam #1","Force (N) Short I-beam #1","Speed (mm/min) Short I-beam #1","Time (s) Short I-beam #2","Position (m) Short I-beam #2","Force (N) Short I-beam #2","Speed (mm/min) Short I-beam #2","Time (s) Long I-beam #1","Position (m) Long I-beam #1","Force (N) Long I-beam #1","Speed (mm/min) Long I-beam #1","Time (s) Long I-beam #2","Position (m) Long I-beam #2","Force (N) Long I-beam #2","Speed (mm/min) Long I-beam #2","Time (s) Polyethylene #1","Position (m) Polyethylene #1","Force (N) Polyethylene #1","Speed (mm/min) Polyethylene #1","Time (s) Polyethylene #2","Position (m) Polyethylene #2","Force (N) Polyethylene #2","Speed (mm/min) Polyethylene #2","Time (s) Polyethylene #3","Position (m) Polyethylene #3","Force (N) Polyethylene #3","Speed (mm/min) Polyethylene #3","Time (s) Black coupon #2","Position (m) Black coupon #2","Force (N) Black coupon #2","Speed (mm/min) Black coupon #2"
0.000,1.22785E-5,0,,0.000,6.13483E-6,0,,0.000,-6.12596E-6,0,,0.000,-6.12596E-6,0,,0.000,-1.83513E-5,1,,0.000,1.84311E-5,-1,,0.000,-6.12596E-6,0,,0.000,-3.66230E-5,1,,0.000,-3.66230E-5,1,,0.000,6.13483E-6,0,,0.000,5.93438E-5,-2,,0.000,2.45926E-5,-1,,,,,
0.200,6.13483E-6,0,-1.84,0.200,2.45926E-5,-1,1.84,0.200,6.13483E-6,0,-0.92,0.200,1.22785E-5,0,0.00,0.200,0.00000,0,0.00,0.200,3.07630E-5,-1,-0.92,0.200,0.00000,0,0.92,0.200,-6.12596E-6,0,10.11,0.200,-4.87599E-5,2,-2.73,0.200,1.22785E-5,0,0.92,0.200,-2.06021E-4,11,-109.05,0.200,3.07630E-5,-1,5.57,,,,
0.400,0.00000,0,0.62,0.400,1.84311E-5,-1,0.42,0.400,-1.22431E-5,0,-1.22,0.400,-6.12596E-6,0,-0.61,0.400,-1.83513E-5,1,-1.22,0.400,1.22785E-5,0,-0.92,0.400,0.00000,0,0.31,0.400,3.07630E-5,-1,1.28,0.400,-5.48152E-5,2,0.91,0.400,1.22785E-5,0,2.47,0.400,-6.67677E-4,35,-104.61,0.400,6.17489E-5,-2,0.03,,,,
0.600,6.13483E-6,0,1.84,0.600,3.69423E-5,-1,-17.27,0.600,-1.83513E-5,1,-1.22,0.600,0.00000,0,-0.92,0.600,-3.66230E-5,1,-0.61,0.600,2.45926E-5,-1,-1.23,0.600,-6.12596E-6,0,0.31,0.600,0.00000,0,-18.72,0.600,-3.05412E-5,1,1.82,0.600,1.22785E-5,0,2.78,0.600,-9.75050E-4,56,-89.47,0.600,1.84311E-5,-1,1.66,,,,
0.800,2.45926E-5,-1,0.65,0.800,2.12904E-6,0,-49.01,0.800,-6.12596E-6,0,0.31,0.800,-6.12596E-6,0,-0.61,0.800,-6.12596E-6,0,0.91,0.800,6.13483E-6,0,-0.92,0.800,6.13483E-6,0,-0.31,0.800,-1.70813E-5,1,-60.04,0.800,-3.66230E-5,1,0.30,0.800,5.55338E-5,-2,0.62,0.800,-0.00126,80,-64.06,0.800,3.75773E-5,-1,5.29,,,,
1.000,1.84311E-5,-1,-0.79,1.000,-3.04545E-4,16,-70.04,1.000,-2.44507E-5,1,1.22,1.000,-6.12596E-6,0,-0.61,1.000,-2.44507E-5,1,0.00,1.000,1.22785E-5,0,-1.54,1.000,0.00000,0,-1.22,1.000,-3.32625E-4,15,-100.85,1.000,-3.05412E-5,1,-1.21,1.000,2.45926E-5,-1,-1.24,1.000,-0.00140,97,-41.37,1.000,8.81758E-5,-3,16.90,,,,
1.200,6.35000E-7,0,-8.33,1.200,-6.20286E-4,33,-41.02,1.200,0.00000,0,1.22,1.200,-1.22431E-5,0,0.31,1.200,-1.22431E-5,0,-1.83,1.200,6.13483E-6,0,-1.53,1.200,-1.22431E-5,0,-0.61,1.200,-8.37500E-4,42,-111.12,1.200,-4.87599E-5,2,-0.91,1.200,1.22785E-5,0,-1.38,1.200,-0.00152,119,-20.47,1.200,9.77288E-5,1,32.24,,,,
1.400,1.43898E-5,0,-85.02,1.400,-7.41356E-4,42,8.57,1.400,0.00000,0,0.00,1.400,-6.12596E-6,0,1.23,1.400,-3.05412E-5,1,-2.13,1.400,-6.12596E-6,0,-1.23,1.400,-1.22431E-5,0,0.31,1.400,-0.00120,64,-85.06,1.400,-4.26959E-5,2,-1.51,1.400,3.07630E-5,-1,3.21,1.400,-0.00154,134,-3.71,1.400,2.96330E-4,0,48.79,,,,
1.600,-1.38047E-4,7,-185.53,1.600,-3.81503E-4,27,32.93,1.600,-6.12596E-6,0,-1.53,1.600,0.00000,0,0.92,1.600,-3.66230E-5,1,-1.83,1.600,-6.12596E-6,0,-0.61,1.600,6.13483E-6,0,0.92,1.600,-0.00138,77,-51.61,1.600,-4.26959E-5,2,-0.60,1.600,2.18035E-5,0,10.44,1.600,-0.00153,149,10.93,1.600,4.74167E-4,0,60.04,,,,
1.800,-0.00154,80,-233.00,1.800,-3.71846E-4,29,25.22,1.800,-1.83513E-5,1,-0.92,1.800,6.13483E-6,0,-0.61,1.800,-4.26959E-5,2,-0.30,1.800,0.00000,0,0.31,1.800,-1.22431E-5,0,0.92,1.800,-0.00150,87,-34.85,1.800,-6.68994E-5,3,0.61,1.800,7.92026E-5,-1,17.93,1.800,-0.00147,160,21.70,1.800,6.87527E-4,0,60.34,,,,
